afghanistan,Afghanistan,889
albania,Albania,222
algeria,Algeria,262
andorra,Andorra,228
angola,Angola,916
argentina,Argentina,414
armenia,Armenia,399
australia,Australia,408
austria,Austria,40
azerbaijan,Azerbaijan,227
bahamas,Bahamas,778
bahrain,Bahrain,398
bangladesh,Bangladesh,902
barbados,Barbados,244
belarus,Belarus,184
belgium,Belgium,31
belize,Belize,242
benin,Benin,962
bhutan,Bhutan,917
bolivia,Bolivia,750
bosnia-herzegovina,Bosnia and Herzegovina,225
botswana,Botswana,963
brazil,Brazil,155
bulgaria,Bulgaria,219
burkina-faso,Burkina Faso,965
burundi,Burundi,967
cambodia,Cambodia,424
cameroon,Cameroon,1009
canada,Canada,16
cape-verde,Cape Verde,1011
central-african-republic,Central African Republic,929
chad,Chad,657
chile,Chile,298
china,China,148
colombia,Colombia,739
comoros,Comoros,970
cook-islands,Cook Islands,26988
costa-rica,Costa Rica,800
ivory-coast,Côte d’Ivoire,1008
croatia,Croatia,224
cuba,Cuba,241
cyprus,Cyprus,229
czech-republic,Czech Republic,213
democratic-republic-congo,Democratic Republic of the Congo,974
denmark,Denmark,35
djibouti,Djibouti,977
dominica,Dominica,784
dominican-republic,Dominican Republic,786
east-timor,East Timor,574
ecuador,Ecuador,736
egypt,Egypt,79
el-salvador,El Salvador,792
equatorial-guinea,Equatorial Guinea,983
eritrea,Eritrea,986
estonia,Estonia,191
ethiopia,Ethiopia,115
fiji,Fiji,712
finland,Finland,33
france,France,142
gabon,Gabon,1000
gambia,Gambia,1005
georgia,Georgia,230
germany,Germany,183
ghana,Ghana,117
greece,Greece,41
grenada,Grenada,769
guatemala,Guatemala,774
guinea,Guinea,1006
guinea-bissau,Guinea-Bissau,1007
guyana,Guyana,734
haiti,Haiti,790
honduras,Honduras,783
hungary,Hungary,28
iceland,Iceland,189
india,India,668
indonesia,Indonesia,252
iran,Iran,794
iraq,Iraq,796
ireland,Ireland,27
israel,Israel,801
italy,Italy,38
jamaica,Jamaica,766
japan,Japan,17
jordan,Jordan,810
kazakhstan,Kazakhstan,232
kenya,Kenya,114
kiribati,Kiribati,710
kosovo,Kosovo,1246
kuwait,Kuwait,817
kyrgyzstan,Kyrgyzstan,813
laos,Laos,819
latvia,Latvia,211
lebanon,Lebanon,822
lesotho,Lesotho,1013
liberia,Liberia,1014
libya,Libya,1016
liechtenstein,Liechtenstein,347
lithuania,Lithuania,37
luxembourg,Luxembourg,32
macedonia,Macedonia,221
madagascar,Madagascar,1019
malawi,Malawi,1020
malaysia,Malaysia,833
maldives,Maldives,826
mali,Mali,912
malta,Malta,233
marshall-islands,Marshall Islands,709
mauritania,Mauritania,1025
mauritius,Mauritius,1027
mexico,Mexico,96
micronesia,Micronesia,702
moldova,Moldova,217
monaco,Monaco,235
mongolia,Mongolia,711
montenegro,Montenegro,236
morocco,Morocco,1028
mozambique,Mozambique,1029
myanmar,Myanmar,836
namibia,Namibia,1030
nauru,Nauru,697
brunei,Negara Brunei Darussalam,921
nepal,Nepal,837
netherlands,Netherlands,55
new-zealand,New Zealand,664
nicaragua,Nicaragua,811
niger,Niger,1032
nigeria,Nigeria,1033
north-korea,North Korea,423
norway,Norway,20
oman,Oman,842
pakistan,Pakistan,843
palau,Palau,695
palestine,Palestine,219060
panama,Panama,804
papua-new-guinea,Papua New Guinea,691
paraguay,Paraguay,733
peru,Peru,419
philippines,Philippines,928
poland,Poland,36
portugal,Portugal,45
qatar,Qatar,846
republic-of-congo,Republic of the Congo,971
romania,Romania,218
russia,Russia,159
rwanda,Rwanda,1037
saint-kitts-nevis,Saint Kitts and Nevis,763
saint-vincent-grenadines,Saint Vincent and the Grenadines,757
samoa,Samoa,683
san-marino,San Marino,238
saudi-arabia,Saudi Arabia,851
senegal,Senegal,1041
serbia,Serbia,403
seychelles,Seychelles,1042
sierra-leone,Sierra Leone,1044
singapore,Singapore,334
slovakia,Slovakia,214
slovenia,Slovenia,215
solomon-islands,Solomon Islands,685
somalia,Somalia,1045
somaliland,Somaliland,34754
south-africa,South Africa,258
south-korea,South Korea,884
soviet-union,Soviet Union,15180
spain,Spain,29
sri-lanka,Sri Lanka,854
sudan,Sudan,1049
suriname,Suriname,730
swaziland,Swaziland,1050
sweden,Sweden,34
switzerland,Switzerland,39
syria,Syria,858
taiwan,Taiwan,865
tajikistan,Tajikistan,863
tanzania,Tanzania,924
thailand,Thailand,869
togo,Togo,945
tonga,Tonga,678
trinidad-tobago,Trinidad and Tobago,754
tunisia,Tunisia,948
turkey,Turkey,43
turkmenistan,Turkmenistan,874
tuvalu,Tuvalu,672
uganda,Uganda,1036
ukraine,Ukraine,212
united-arab-emirates,United Arab Emirates,878
united-kingdom,United Kingdom,145
usa,United States of America,30
uruguay,Uruguay,77
uzbekistan,Uzbekistan,265
vanuatu,Vanuatu,686
vatican-city,Vatican City,237
venezuela,Venezuela,717
vietnam,Vietnam,881
yemen,Yemen,805
zambia,Zambia,953
zimbabwe,Zimbabwe,954
